Timestamp	Score	Gender	Age	Nationality	If you are visitor or returning national, how long did you stay in St Kitts?	If you are a visitor, which country/region are you from?	If you are visitor, how did you learn about St Kitts Carnival?	Is this your first time attending Carnival celebrations?	How often do you attend Carnival celebrations?	Which events do you usually participate in at Carnival?	How many events did you attend for St Kitts Carnival?	How much do you typically spend on Carnival?	Did you spend more or less than last year on St. Kitts Carnival this year?	How much did you spend on food and beverages (drinks)?	How much did you spend on carnival events/fetes, tickets?	How much did you spend on carnival prep (clothing, nails, hair, makeup, etc.)?	How much did you spend on transportation?	If a visitor or returning national, how much did you spend on accommodations?	If you participated in parade day (Troupe/Mas/Costume), how much did you spend?	How would you rate the Carnival experience and vibes. (1 being the worst and 5 being the best)	Would you recommend St. Kitts Carnival to family and friends?	If you are a visitor, will you come back for carnival or vacation?
1/4/2025 7:43:26		Female	25 to 34	Resident				No	Every year	Fetes, Jouvert, Parade (Troupe)	3 to 5	$1000 to $2000	The same	More than $400	$800 to $1000	$400 to $800	$0		$500 to $800	5	Yes	
1/4/2025 9:54:39		Male	25 to 34	Resident				No	Every year	Fetes, Jouvert, Parade (Troupe)	3 to 5	$1000 to $2000	More	$200 to $300	$200 to $400	$400 to $800	$0		$500 to $800	4	Yes	
1/4/2025 10:06:43		Female	45 to 54	Resident					Every year	Fetes	3 to 5	$4000 to $5000	Less	More than $400	Over $1000	$800 to $1200	$0			5	Yes	
1/4/2025 10:13:25		Female	25 to 34	Resident		USA	Friends/Family, Facebook, Instagram	Yes	Never	Jouvert, Carnival Shows, Parade (Troupe)	3 to 5	Less than $1000	More	Less than $100			$450 to $750			5	Yes	Both
1/4/2025 10:15:28		Female	35 to 44	Resident				No	Every year	Fetes, Jouvert, Parade (Troupe)	3 to 5	$3000 to $4000	More	$200 to $300	Over $1000	$100 to $400	$0			4	Yes	
1/4/2025 10:24:10		Female	Over 65	Returning National	More than 14 days			No	Every few years	Jouvert, Carnival Shows, Parade (Troupe)	3 to 5	Less than $1000	The same	$100 to $200	Less than $200	$100 to $400	$0	$0		4	Yes	
1/4/2025 10:26:01		Female	35 to 44	Resident				No	Every year	Jouvert	1 to 3	Less than $1000	Less	Less than $100	Less than $200	$100 to $400	$1,350 to $1,650	$0		4	Yes	
1/4/2025 10:36:50		Female	45 to 54	Resident						Jouvert, Parade (Troupe)	Over 7	$3000 to $4000	More	More than $400	$800 to $1000	Over $1200	$0		Over $2000	2	Maybe	None
1/4/2025 10:48:41		Female	45 to 54	Resident			Friends/Family	Yes	Rarely	Carnival Shows, Parade (Troupe)	1 to 3	$1000 to $2000		$100 to $200	$200 to $400	$400 to $800	$450 to $750		$200 to $500	3	Maybe	Vacation
1/4/2025 11:00:25		Female	25 to 34	Resident				No	Every year	Jouvert, Carnival Shows, Parade (Troupe)	3 to 5	$2000 to $3000	Less	$100 to $200	Less than $200	$100 to $400	$0			4	Yes	
1/4/2025 11:04:40		Female	55 to 64	Resident				No	Every year	Carnival Shows, Parade (Troupe)	3 to 5	Less than $1000	The same	Less than $100	Less than $200	$100 to $400	$0		Over $2000	5	Yes	
1/4/2025 11:06:03		Female	45 to 54	Visitor	10 to 14 days	USA	Friends/Family	No	Every year	Fetes, Jouvert, Carnival Shows, Parade (Troupe)	Over 7	$1000 to $2000	More	$300 to $400	$400 to $600	$100 to $400	$450 to $750	$100 to $500		5	Yes	Both
